user_id,username,email,password_hash,role,created_at,updated_at,is_deleted
1,jdoe,jdoe@example.com,$2b$12$g7vCk,Member,2024-08-12 01:00:00,2024-08-12 01:00:00,FALSE
2,asmith,asmith@example.com,$2b$12$e7mDk,Owner,2024-08-12 01:30:00,2024-08-12 01:30:00,FALSE
3,bwhite,bwhite@example.com,$2b$12$f4jKk,Guest,2024-08-12 02:00:00,2024-08-12 02:00:00,FALSE
4,mgreen,mgreen@example.com,$2b$12$a3lMn,Moderator,2024-08-12 02:30:00,2024-08-12 02:30:00,FALSE
5,tblack,tblack@example.com,$2b$12$b2lNz,Administrator,2024-08-12 03:00:00,2024-08-12 03:00:00,FALSE
6,cmoore,cmoore@example.com,$2b$12$d1nKq,Content Creator,2024-08-12 03:30:00,2024-08-12 03:30:00,FALSE
7,eyoung,eyoung@example.com,$2b$12$g9pRn,Viewer,2024-08-12 04:00:00,2024-08-12 04:00:00,FALSE
8,pjackson,pjackson@example.com,$2b$12$r7vGk,Member,2024-08-12 04:30:00,2024-08-12 04:30:00,FALSE
9,sharris,sharris@example.com,$2b$12$t3kLn,Owner,2024-08-12 05:00:00,2024-08-12 05:00:00,FALSE
10,jmorris,jmorris@example.com,$2b$12$w5jKp,Guest,2024-08-12 05:30:00,2024-08-12 05:30:00,FALSE
11,lmartin,lmartin@example.com,$2b$12$n1mRq,Moderator,2024-08-12 06:00:00,2024-08-12 06:00:00,FALSE
12,kdavis,kdavis@example.com,$2b$12$k2nJz,Administrator,2024-08-12 06:30:00,2024-08-12 06:30:00,FALSE
13,crodriguez,crodriguez@example.com,$2b$12$m3jKl,Content Creator,2024-08-12 07:00:00,2024-08-12 07:00:00,FALSE
14,sgonzalez,sgonzalez@example.com,$2b$12$q1oNq,Viewer,2024-08-12 07:30:00,2024-08-12 07:30:00,FALSE
15,jwilson,jwilson@example.com,$2b$12$f4kLn,Member,2024-08-12 08:00:00,2024-08-12 08:00:00,FALSE
16,jlopez,jlopez@example.com,$2b$12$a6kMq,Owner,2024-08-12 08:30:00,2024-08-12 08:30:00,FALSE
17,ewhite,ewhite@example.com,$2b$12$t2lQz,Guest,2024-08-12 09:00:00,2024-08-12 09:00:00,FALSE
